lat,lon
37.7078,-122.5155
37.7078,-122.515045
37.7078,-122.514591
37.7078,-122.514136
37.7078,-122.513682
37.7078,-122.513227
37.7078,-122.512773
37.7078,-122.512318
37.7078,-122.511863
37.7078,-122.511409
37.7078,-122.510954
37.7078,-122.5105
37.7078,-122.510045
37.7078,-122.509591
37.7078,-122.509136
37.7078,-122.508681
37.7078,-122.508227
37.7078,-122.507772
37.7078,-122.507318
37.7078,-122.506863
37.7078,-122.506409
37.7078,-122.505954
37.7078,-122.505499
37.7078,-122.505045
37.7078,-122.50459
37.7078,-122.504136
37.7078,-122.503681
37.7078,-122.503227
37.7078,-122.502772
37.7078,-122.502317
37.7078,-122.501863
37.7078,-122.501408
37.7078,-122.500954
37.7078,-122.500499
37.7078,-122.500045
37.7078,-122.49959
37.7078,-122.499135
37.7078,-122.498681
37.7078,-122.498226
37.7078,-122.497772
37.7078,-122.497317
37.7078,-122.496863
37.7078,-122.496408
37.7078,-122.495953
37.7078,-122.495499
37.7078,-122.495044
37.7078,-122.49459
37.7078,-122.494135
37.7078,-122.493681
37.7078,-122.493226
37.7078,-122.492771
37.7078,-122.492317
37.7078,-122.491862
37.7078,-122.491408
37.7078,-122.490953
37.7078,-122.490499
37.7078,-122.490044
37.7078,-122.489589
37.7078,-122.489135
37.7078,-122.48868
37.7078,-122.488226
37.7078,-122.487771
37.7078,-122.487317
37.7078,-122.486862
37.7078,-122.486407
37.7078,-122.485953
37.7078,-122.485498
37.7078,-122.485044
37.7078,-122.484589
37.7078,-122.484135
37.7078,-122.48368
37.7078,-122.483225
37.7078,-122.482771
37.7078,-122.482316
37.7078,-122.481862
37.7078,-122.481407
37.7078,-122.480953
37.7078,-122.480498
37.7078,-122.480043
37.7078,-122.479589
37.7078,-122.479134
37.7078,-122.47868
37.7078,-122.478225
37.7078,-122.477771
37.7078,-122.477316
37.7078,-122.476861
37.7078,-122.476407
37.7078,-122.475952
37.7078,-122.475498
37.7078,-122.475043
37.7078,-122.474589
37.7078,-122.474134
37.7078,-122.473679
37.7078,-122.473225
37.7078,-122.47277
37.7078,-122.472316
37.7078,-122.471861
37.7078,-122.471407
37.7078,-122.470952
37.7078,-122.470498
37.7078,-122.470043
37.7078,-122.469588
37.7078,-122.469134
37.7078,-122.468679
37.7078,-122.468225
37.7078,-122.46777
37.7078,-122.467316
37.7078,-122.466861
37.7078,-122.466406
37.7078,-122.465952
37.7078,-122.465497
37.7078,-122.465043
37.7078,-122.464588
37.7078,-122.464134
37.7078,-122.463679
37.7078,-122.463224
37.7078,-122.46277
37.7078,-122.462315
37.7078,-122.461861
37.7078,-122.461406
37.7078,-122.460952
37.7078,-122.460497
37.7078,-122.460042
37.7078,-122.459588
37.7078,-122.459133
37.7078,-122.458679
37.7078,-122.458224
37.7078,-122.45777
37.7078,-122.457315
37.7078,-122.45686
37.7078,-122.456406
37.7078,-122.455951
37.7078,-122.455497
37.7078,-122.455042
37.7078,-122.454588
37.7078,-122.454133
37.7078,-122.453678
37.7078,-122.453224
37.7078,-122.452769
37.7078,-122.452315
37.7078,-122.45186
37.7078,-122.451406
37.7078,-122.450951
37.7078,-122.450496
37.7078,-122.450042
37.7078,-122.449587
37.7078,-122.449133
37.7078,-122.448678
37.7078,-122.448224
37.7078,-122.447769
37.7078,-122.447314
37.7078,-122.44686
37.7078,-122.446405
37.7078,-122.445951
37.7078,-122.445496
37.7078,-122.445042
37.7078,-122.444587
37.7078,-122.444132
37.7078,-122.443678
37.7078,-122.443223
37.7078,-122.442769
37.7078,-122.442314
37.7078,-122.44186
37.7078,-122.441405
37.7078,-122.44095
37.7078,-122.440496
37.7078,-122.440041
37.7078,-122.439587
37.7078,-122.439132
37.7078,-122.438678
37.7078,-122.438223
37.7078,-122.437768
37.7078,-122.437314
37.7078,-122.436859
37.7078,-122.436405
37.7078,-122.43595
37.7078,-122.435496
37.7078,-122.435041
37.7078,-122.434586
37.7078,-122.434132
37.7078,-122.433677
37.7078,-122.433223
37.7078,-122.432768
37.7078,-122.432314
37.7078,-122.431859
37.7078,-122.431404
37.7078,-122.43095
37.7078,-122.430495
37.7078,-122.430041
37.7078,-122.429586
37.7078,-122.429132
37.7078,-122.428677
37.7078,-122.428222
37.7078,-122.427768
37.7078,-122.427313
37.7078,-122.426859
37.7078,-122.426404
37.7078,-122.42595
37.7078,-122.425495
37.7078,-122.42504
37.7078,-122.424586
37.7078,-122.424131
37.7078,-122.423677
37.7078,-122.423222
37.7078,-122.422768
37.7078,-122.422313
37.7078,-122.421858
37.7078,-122.421404
37.7078,-122.420949
37.7078,-122.420495
37.7078,-122.42004
37.7078,-122.419586
37.7078,-122.419131
37.7078,-122.418676
37.7078,-122.418222
37.7078,-122.417767
37.7078,-122.417313
37.7078,-122.416858
37.7078,-122.416404
37.7078,-122.415949
37.7078,-122.415494
37.7078,-122.41504
37.7078,-122.414585
37.7078,-122.414131
37.7078,-122.413676
37.7078,-122.413222
37.7078,-122.412767
37.7078,-122.412312
37.7078,-122.411858
37.7078,-122.411403
37.7078,-122.410949
37.7078,-122.410494
37.7078,-122.41004
37.7078,-122.409585
37.7078,-122.40913
37.7078,-122.408676
37.7078,-122.408221
37.7078,-122.407767
37.7078,-122.407312
37.7078,-122.406858
37.7078,-122.406403
37.7078,-122.405948
37.7078,-122.405494
37.7078,-122.405039
37.7078,-122.404585
37.7078,-122.40413
37.7078,-122.403676
37.7078,-122.403221
37.7078,-122.402766
37.7078,-122.402312
37.7078,-122.401857
37.7078,-122.401403
37.7078,-122.400948
37.7078,-122.400494
37.7078,-122.400039
37.7078,-122.399584
37.7078,-122.39913
37.7078,-122.398675
37.7078,-122.398221
37.7078,-122.397766
37.7078,-122.397312
37.7078,-122.396857
37.7078,-122.396402
37.7078,-122.395948
37.7078,-122.395493
37.7078,-122.395039
37.7078,-122.394584
37.7078,-122.39413
37.7078,-122.393675
37.7078,-122.39322
37.7078,-122.392766
37.7078,-122.392311
37.7078,-122.391857
37.7078,-122.391402
37.7078,-122.390948
37.7078,-122.390493
37.7078,-122.390038
37.7078,-122.389584
37.7078,-122.389129
37.7078,-122.388675
37.7078,-122.38822
37.7078,-122.387766
37.7078,-122.387311
37.7078,-122.386856
37.7078,-122.386402
37.7078,-122.385947
37.7078,-122.385493
37.7078,-122.385038
37.7078,-122.384584
37.7078,-122.384129
37.7078,-122.383674
37.7078,-122.38322
37.7078,-122.382765
37.7078,-122.382311
37.7078,-122.381856
37.7078,-122.381402
37.7078,-122.380947
37.7078,-122.380493
37.7078,-122.380038
37.7078,-122.379583
37.7078,-122.379129
37.7078,-122.378674
37.7078,-122.37822
37.7078,-122.377765
37.7078,-122.377311
37.7078,-122.376856
37.7078,-122.376401
37.7078,-122.375947
37.7078,-122.375492
37.7078,-122.375038
37.7078,-122.374583
37.7078,-122.374129
37.7078,-122.373674
37.7078,-122.373219
37.7078,-122.372765
37.7078,-122.37231
37.7078,-122.371856
37.7078,-122.371401
37.7078,-122.370947
37.7078,-122.370492
37.7078,-122.370037
37.7078,-122.369583
37.7078,-122.369128
37.7078,-122.368674
37.7078,-122.368219
37.7078,-122.367765
37.7078,-122.36731
37.7078,-122.366855
37.7078,-122.366401
37.7078,-122.365946
37.7078,-122.365492
37.7078,-122.365037
37.7078,-122.364583
37.7078,-122.364128
37.7078,-122.363673
37.7078,-122.363219
37.7078,-122.362764
37.7078,-122.36231
37.7078,-122.361855
37.7078,-122.361401
37.7078,-122.360946
37.7078,-122.360491
37.7078,-122.360037
37.7078,-122.359582
37.7078,-122.359128
37.7078,-122.358673
37.7078,-122.358219
37.7078,-122.357764
37.7078,-122.357309
37.7078,-122.356855
37.7078,-122.3564
37.7078,-122.355946
37.7078,-122.355491
37.7078,-122.355037
37.708159,-122.5155
37.708159,-122.515045
37.708159,-122.514591
37.708159,-122.514136
37.708159,-122.513682
37.708159,-122.513227
37.708159,-122.512773
37.708159,-122.512318
37.708159,-122.511863
37.708159,-122.511409
37.708159,-122.510954
37.708159,-122.5105
37.708159,-122.510045
37.708159,-122.509591
37.708159,-122.509136
37.708159,-122.508681
37.708159,-122.508227
37.708159,-122.507772
37.708159,-122.507318
37.708159,-122.506863
37.708159,-122.506409
37.708159,-122.505954
37.708159,-122.505499
37.708159,-122.505045
37.708159,-122.50459
37.708159,-122.504136
37.708159,-122.503681
37.708159,-122.503227
37.708159,-122.502772
37.708159,-122.502317
37.708159,-122.501863
37.708159,-122.501408
37.708159,-122.500954
37.708159,-122.500499
37.708159,-122.500045
37.708159,-122.49959
37.708159,-122.499135
37.708159,-122.498681
37.708159,-122.498226
37.708159,-122.497772
37.708159,-122.497317
37.708159,-122.496863
37.708159,-122.496408
37.708159,-122.495953
37.708159,-122.495499
37.708159,-122.495044
37.708159,-122.49459
37.708159,-122.494135
37.708159,-122.493681
37.708159,-122.493226
37.708159,-122.492771
37.708159,-122.492317
37.708159,-122.491862
37.708159,-122.491408
37.708159,-122.490953
37.708159,-122.490499
37.708159,-122.490044
37.708159,-122.489589
37.708159,-122.489135
37.708159,-122.48868
37.708159,-122.488226
37.708159,-122.487771
37.708159,-122.487317
37.708159,-122.486862
37.708159,-122.486407
37.708159,-122.485953
37.708159,-122.485498
37.708159,-122.485044
37.708159,-122.484589
37.708159,-122.484135
37.708159,-122.48368
37.708159,-122.483225
37.708159,-122.482771
37.708159,-122.482316
37.708159,-122.481862
37.708159,-122.481407
37.708159,-122.480953
37.708159,-122.480498
37.708159,-122.480043
37.708159,-122.479589
37.708159,-122.479134
37.708159,-122.47868
37.708159,-122.478225
37.708159,-122.477771
37.708159,-122.477316
37.708159,-122.476861
37.708159,-122.476407
37.708159,-122.475952
37.708159,-122.475498
37.708159,-122.475043
37.708159,-122.474589
37.708159,-122.474134
37.708159,-122.473679
37.708159,-122.473225
37.708159,-122.47277
37.708159,-122.472316
37.708159,-122.471861
37.708159,-122.471407
37.708159,-122.470952
37.708159,-122.470498
37.708159,-122.470043
37.708159,-122.469588
37.708159,-122.469134
37.708159,-122.468679
37.708159,-122.468225
37.708159,-122.46777
37.708159,-122.467316
37.708159,-122.466861
37.708159,-122.466406
37.708159,-122.465952
37.708159,-122.465497
37.708159,-122.465043
37.708159,-122.464588
37.708159,-122.464134
37.708159,-122.463679
37.708159,-122.463224
37.708159,-122.46277
37.708159,-122.462315
37.708159,-122.461861
37.708159,-122.461406
37.708159,-122.460952
37.708159,-122.460497
37.708159,-122.460042
37.708159,-122.459588
37.708159,-122.459133
37.708159,-122.458679
37.708159,-122.458224
37.708159,-122.45777
37.708159,-122.457315
37.708159,-122.45686
37.708159,-122.456406
37.708159,-122.455951
37.708159,-122.455497
37.708159,-122.455042
37.708159,-122.454588
37.708159,-122.454133
37.708159,-122.453678
37.708159,-122.453224
37.708159,-122.452769
37.708159,-122.452315
37.708159,-122.45186
37.708159,-122.451406
37.708159,-122.450951
37.708159,-122.450496
37.708159,-122.450042
37.708159,-122.449587
37.708159,-122.449133
37.708159,-122.448678
37.708159,-122.448224
37.708159,-122.447769
37.708159,-122.447314
37.708159,-122.44686
37.708159,-122.446405
37.708159,-122.445951
37.708159,-122.445496
37.708159,-122.445042
37.708159,-122.444587
37.708159,-122.444132
37.708159,-122.443678
37.708159,-122.443223
37.708159,-122.442769
37.708159,-122.442314
37.708159,-122.44186
37.708159,-122.441405
37.708159,-122.44095
37.708159,-122.440496
37.708159,-122.440041
37.708159,-122.439587
37.708159,-122.439132
37.708159,-122.438678
37.708159,-122.438223
37.708159,-122.437768
37.708159,-122.437314
37.708159,-122.436859
37.708159,-122.436405
37.708159,-122.43595
37.708159,-122.435496
37.708159,-122.435041
37.708159,-122.434586
37.708159,-122.434132
37.708159,-122.433677
37.708159,-122.433223
37.708159,-122.432768
37.708159,-122.432314
37.708159,-122.431859
37.708159,-122.431404
37.708159,-122.43095
37.708159,-122.430495
37.708159,-122.430041
37.708159,-122.429586
37.708159,-122.429132
37.708159,-122.428677
37.708159,-122.428222
37.708159,-122.427768
37.708159,-122.427313
37.708159,-122.426859
37.708159,-122.426404
37.708159,-122.42595
37.708159,-122.425495
37.708159,-122.42504
37.708159,-122.424586
37.708159,-122.424131
37.708159,-122.423677
37.708159,-122.423222
37.708159,-122.422768
37.708159,-122.422313
37.708159,-122.421858
37.708159,-122.421404
37.708159,-122.420949
37.708159,-122.420495
37.708159,-122.42004
37.708159,-122.419586
37.708159,-122.419131
37.708159,-122.418676
37.708159,-122.418222
37.708159,-122.417767
37.708159,-122.417313
37.708159,-122.416858
37.708159,-122.416404
37.708159,-122.415949
37.708159,-122.415494
37.708159,-122.41504
37.708159,-122.414585
37.708159,-122.414131
37.708159,-122.413676
37.708159,-122.413222
37.708159,-122.412767
37.708159,-122.412312
37.708159,-122.411858
37.708159,-122.411403
37.708159,-122.410949
37.708159,-122.410494
37.708159,-122.41004
37.708159,-122.409585
37.708159,-122.40913
37.708159,-122.408676
37.708159,-122.408221
37.708159,-122.407767
37.708159,-122.407312
37.708159,-122.406858
37.708159,-122.406403
37.708159,-122.405948
37.708159,-122.405494
37.708159,-122.405039
37.708159,-122.404585
37.708159,-122.40413
37.708159,-122.403676
37.708159,-122.403221
37.708159,-122.402766
37.708159,-122.402312
37.708159,-122.401857
37.708159,-122.401403
37.708159,-122.400948
37.708159,-122.400494
37.708159,-122.400039
37.708159,-122.399584
37.708159,-122.39913
37.708159,-122.398675
37.708159,-122.398221
37.708159,-122.397766
37.708159,-122.397312
37.708159,-122.396857
37.708159,-122.396402
37.708159,-122.395948
37.708159,-122.395493
37.708159,-122.395039
37.708159,-122.394584
37.708159,-122.39413
37.708159,-122.393675
37.708159,-122.39322
37.708159,-122.392766
